Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare
2024,2,32467,33933,"Miami, FL (Metropolitan Area)","Worcester, MA",1232,261,169.25
2024,2,32467,34057,"Miami, FL (Metropolitan Area)","Portland, OR",2700,426,306.6
2024,2,32467,34100,"Miami, FL (Metropolitan Area)","Philadelphia, PA",1013,2682,194.18
2024,2,32467,34492,"Miami, FL (Metropolitan Area)","Raleigh/Durham, NC",700,1607,162.6
2024,2,32467,34524,"Miami, FL (Metropolitan Area)","Richmond, VA",825,611,170.78
2024,2,32467,34614,"Miami, FL (Metropolitan Area)","Salt Lake City, UT",2088,813,282.8
2024,2,32467,35096,"Miami, FL (Metropolitan Area)","Syracuse, NY",1217,250,210.32
2024,2,32467,33192,"Miami, FL (Metropolitan Area)","Sacramento, CA",2552,313,350.35
2024,2,32575,30198,"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA",2136,819,259.22
2024,2,32575,30436,"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",453,654,200.52
2024,2,32575,30466,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",370,5914,173.56
2024,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7836,199.85
2024,2,32575,30693,"Los Angeles, CA (Metropolitan Area)","Nashville, TN",1797,2601,282.67
2024,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2329,5984,311.85
2024,2,32575,31123,"Los Angeles, CA (Metropolitan Area)","St. Louis, MO",1592,1231,265.92
2024,2,32467,33728,"Miami, FL (Metropolitan Area)","Pensacola, FL",530,295,203.24
2024,2,32575,31650,"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",1535,2228,254.52
2024,2,32575,31703,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",2510,13856,436.31
2024,2,32575,31884,"Los Angeles, CA (Metropolitan Area)","Spokane, WA",962,806,240.33
2024,2,32575,32457,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",372,17527,164.23
2024,2,32575,32467,"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",2343,4508,311.46
2024,2,32575,33044,"Los Angeles, CA (Metropolitan Area)","Louisville, KY",1843,444,293.29
2024,2,32575,33192,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",404,5487,180.55
2024,2,32467,35249,"Miami, FL (Metropolitan Area)","Tallahassee, FL",402,488,148.61
2024,2,32575,33214,"Los Angeles, CA (Metropolitan Area)","San Antonio, TX",1211,1337,233.73
2024,2,32575,33244,"Los Angeles, CA (Metropolitan Area)","Memphis, TN",1619,612,247.95
2024,2,32575,33264,"Los Angeles, CA (Metropolitan Area)","Medford, OR",659,314,172.79
2024,2,32575,33316,"Los Angeles, CA (Metropolitan Area)","Omaha, NE",1330,550,274.04
2024,2,32575,33342,"Los Angeles, CA (Metropolitan Area)","Milwaukee, WI",1756,452,307.51
2024,2,32575,33495,"Los Angeles, CA (Metropolitan Area)","New Orleans, LA",1670,1503,263.46
2024,2,32575,33667,"Los Angeles, CA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2371,419,334.33
2024,2,32575,31454,"Los Angeles, CA (Metropolitan Area)","Orlando, FL",2218,3159,279.92
2024,2,32337,33570,"Indianapolis, IN","San Diego, CA",1782,412,259.18
2024,2,32337,34100,"Indianapolis, IN","Philadelphia, PA",588,492,261.01
2024,2,32337,34614,"Indianapolis, IN","Salt Lake City, UT",1355,248,315.48
2024,2,32337,34986,"Indianapolis, IN","Sarasota/Bradenton, FL",876,320,158.37
2024,2,32448,30852,"Jackson/Vicksburg, MS","Washington, DC (Metropolitan Area)",888,265,246.93
2024,2,32457,30436,"San Francisco, CA (Metropolitan Area)","Tucson, AZ",751,382,251.38
2024,2,32457,30559,"San Francisco, CA (Metropolitan Area)","Seattle, WA",696,6122,198.81
2024,2,32337,30852,"Indianapolis, IN","Washington, DC (Metropolitan Area)",516,1233,229.4
2024,2,32457,31123,"San Francisco, CA (Metropolitan Area)","St. Louis, MO",1735,680,282.16
2024,2,32457,31884,"San Francisco, CA (Metropolitan Area)","Spokane, WA",742,481,205.02
2024,2,32457,33195,"San Francisco, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2393,689,359.33
2024,2,32457,34689,"San Francisco, CA (Metropolitan Area)","Santa Barbara, CA",263,343,197.88
2024,2,32467,30198,"Miami, FL (Metropolitan Area)","Pittsburgh, PA",1013,1003,184.34
2024,2,32467,30466,"Miami, FL (Metropolitan Area)","Phoenix, AZ",1972,1330,287.71
2024,2,32467,30559,"Miami, FL (Metropolitan Area)","Seattle, WA",2724,1083,351.4
2024,2,32337,33195,"Indianapolis, IN","Tampa, FL (Metropolitan Area)",840,896,183.89
2024,2,32467,30852,"Miami, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",946,6028,182.75
2024,2,32467,31123,"Miami, FL (Metropolitan Area)","St. Louis, MO",1068,824,235.81
2024,2,32467,31454,"Miami, FL (Metropolitan Area)","Orlando, FL",192,460,160.46
2024,2,32467,31650,"Miami, FL (Metropolitan Area)","Minneapolis/St. Paul, MN",1501,1284,202.75
2024,2,32467,31703,"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)",1118,18809,197.42
2024,2,32467,32244,"Miami, FL (Metropolitan Area)","New Haven, CT",1126,300,126.74
2024,2,32467,32457,"Miami, FL (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2585,2171,328.86
2024,2,32457,30852,"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2457,4036,398.01
2024,2,32467,33195,"Miami, FL (Metropolitan Area)","Tampa, FL (Metropolitan Area)",204,791,174.5
2024,2,32467,33214,"Miami, FL (Metropolitan Area)","San Antonio, TX",1145,523,222.2
2024,2,32467,33316,"Miami, FL (Metropolitan Area)","Omaha, NE",1393,257,247.07
2024,2,32467,33342,"Miami, FL (Metropolitan Area)","Milwaukee, WI",1258,317,211.31
2024,2,32467,33495,"Miami, FL (Metropolitan Area)","New Orleans, LA",675,1196,157.12
2024,2,32467,33570,"Miami, FL (Metropolitan Area)","San Diego, CA",2269,911,276.56
2024,2,32467,33667,"Miami, FL (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",812,471,203.06
2024,2,32467,30693,"Miami, FL (Metropolitan Area)","Nashville, TN",806,1918,175.67
2024,2,32211,33044,"Las Vegas, NV","Louisville, KY",1624,364,242.32
2024,2,32211,33192,"Las Vegas, NV","Sacramento, CA",397,1970,142.09
2024,2,32211,33195,"Las Vegas, NV","Tampa, FL (Metropolitan Area)",1984,1029,262.35
2024,2,32211,33214,"Las Vegas, NV","San Antonio, TX",1069,1153,206.94
2024,2,32211,33244,"Las Vegas, NV","Memphis, TN",1416,497,180.73
2024,2,32211,33256,"Las Vegas, NV","Mission/McAllen/Edinburg, TX",1210,283,151.23
2024,2,32211,33316,"Las Vegas, NV","Omaha, NE",1099,556,213.22
2024,2,32211,30852,"Las Vegas, NV","Washington, DC (Metropolitan Area)",2106,2722,316.88
2024,2,32211,33495,"Las Vegas, NV","New Orleans, LA",1500,629,227.15
2024,2,32211,33570,"Las Vegas, NV","San Diego, CA",258,2002,129.9
2024,2,32211,33667,"Las Vegas, NV","Norfolk, VA (Metropolitan Area)",2154,281,309.34
2024,2,32211,33851,"Las Vegas, NV","Oklahoma City, OK",986,458,221.81
2024,2,32211,34057,"Las Vegas, NV","Portland, OR",763,1817,175.67
2024,2,32211,34100,"Las Vegas, NV","Philadelphia, PA",2176,1461,294.8
2024,2,32211,34492,"Las Vegas, NV","Raleigh/Durham, NC",2026,805,293.6
2024,2,32211,32575,"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",236,7533,138.25
2024,2,32211,34570,"Las Vegas, NV","Reno, NV",345,1228,165.37
2024,2,32211,34614,"Las Vegas, NV","Salt Lake City, UT",368,1211,165.93
